ts_ns,event,extra
1757199187512663323,START,
1757199187514755812,DOWN,latency_ms=799.390
1757199188561161874,UP,
1757199189571924409,DOWN,latency_ms=376.515
1757199193595640674,UP,
1757199194605368064,DOWN,latency_ms=951.029
1757199195616882890,UP,
1757199197635814867,DOWN,latency_ms=727.230
1757199199648283514,UP,
1757199200657854942,DOWN,latency_ms=744.581
1757199201665285017,UP,
1757199205687607629,DOWN,latency_ms=227.201
1757199207700427216,UP,
1757199208708277046,DOWN,latency_ms=719.412
1757199211722848327,UP,
1757199214736420126,DOWN,latency_ms=399.328
1757199215742977759,UP,
1757199219774138753,DOWN,latency_ms=404.301
1757199220782666059,UP,
1757199224811711998,DOWN,latency_ms=320.276
